assemblage.name;assemblage.category;country_continent.continent;geological_stratigraphy.correlation;geological_stratigraphy.age_min;geological_stratigraphy.age_max;locality.idlocality;locality.x;locality.y
Ganovce Layer 4-10 Fauna;animal remains, paleofauna;Europe;biostratigraphy, geology;71000;85000;Ganovce;20.327;49.03;
Ganovce Layer 4-10 Fauna;animal remains, paleofauna;Europe;biostratigraphy, geology;85000;115000;Ganovce;20.327;49.03;
Ganovce MP assemblage;raw material, technology, typology;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce layer 11 human remains 1;human remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce layer 11 human remains 2;human remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce layer 11 human remains 3;human remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, Layer 11, Flora;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, Layer 12, Flora;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, Layer 7, Flora;plant remains;Europe;biostratigraphy, geology;85000;115000;Ganovce;20.327;49.03;
Ganovce, layer 11, malacofauna;paleofauna;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, layer 15, malacofauna;paleofauna;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, layer 16-17, malacofauna;paleofauna;Europe;biostratigraphy, geology;127000;150000;Ganovce;20.327;49.03;
Ganovce, layer 16-17, malacofauna;paleofauna;Europe;biostratigraphy, geology;127000;186000;Ganovce;20.327;49.03;
Ganovce, layer 4, malacofauna;paleofauna;Europe;biostratigraphy, geology;71000;85000;Ganovce;20.327;49.03;
Ganovce, layer 7, malacofauna;paleofauna;Europe;biostratigraphy, geology;85000;115000;Ganovce;20.327;49.03;
Ganovce, pollen sample 1;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 10;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 11;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 12;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 13;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 2;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 3;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 4;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 5;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 6;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 7;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 8;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Ganovce, pollen sample 9;plant remains;Europe;biostratigraphy, geology;115000;127000;Ganovce;20.327;49.03;
Garchi I Cultural horizon 1 lithic assemblage;feature, raw material, technology, typology;Asia;14C (radiocarbon) dating, archaeological (cultural) stratigraphy, geology, stratigraphy;27955;29545;Garchi I;56.16694;59.03361;
Layer C - Lithics;feature, raw material, technology, typology;Europe;TL (thermoluminescence) dating, archaeological (cultural) stratigraphy, geology, stratigraphy;20000;45000;Gato Preto;-8.928889;39.338889;
Gatzarria Cb Archaeological Assemblage;raw material, typology, technology, organic tools, symbolic artifacts;Europe;archaeological (cultural) stratigraphy, geology;30000;34950;Gatzarria;-0.919562;43.135472;
Gatzarria Cbci-Cbf Archaeological Assemblage;raw material, typology, technology, organic tools, symbolic artifacts;Europe;14C (radiocarbon) dating;33700;34950;Gatzarria;-0.919562;43.135472;
Gatzarria Cbcs Archaeological Assemblage;raw material, typology, technology;Europe;archaeological (cultural) stratigraphy, geology;25000;35000;Gatzarria;-0.919562;43.135472;
Gatzarria Cj Archaeological Assemblage;raw material, typology, technology;Europe;14C (radiocarbon) dating;33250;46200;Gatzarria;-0.919562;43.135472;
Gatzarria Cjn1 Archaeological Assemblage;raw material, typology, technology, organic tools, symbolic artifacts;Europe;14C (radiocarbon) dating;33250;46200;Gatzarria;-0.919562;43.135472;
Gatzarria Cjn2 Archaeological Assemblage;raw material, typology, technology, organic tools;Europe;14C (radiocarbon) dating;33250;46200;Gatzarria;-0.919562;43.135472;
Gatzarria Cjn3 Archaeological Assemblage;raw material, typology, technology, organic tools, symbolic artifacts;Europe;14C (radiocarbon) dating;33250;46200;Gatzarria;-0.919562;43.135472;
Gatzarria Cjr base Archaeological Assemblage;raw material, typology, technology;Europe;14C (radiocarbon) dating, archaeological (cultural) stratigraphy;47400;70000;Gatzarria;-0.919562;43.135472;
Gatzarria Cjr/Cjgr Archaeological Assemblage;raw material, typology, technology;Europe;14C (radiocarbon) dating, archaeological (cultural) stratigraphy;47400;70000;Gatzarria;-0.919562;43.135472;
Gatzarria Cr Archaeological Assemblage;raw material, typology, technology;Europe;archaeological (cultural) stratigraphy, geology;47400;116000;Gatzarria;-0.919562;43.135472;
Gatzarria Layer Cj Fauna;animal remains, paleofauna;Europe;14C (radiocarbon) dating;33250;46200;Gatzarria;-0.919562;43.135472;
Gatzarria Layer Cjr Fauna;animal remains, paleofauna;Europe;14C (radiocarbon) dating, archaeological (cultural) stratigraphy;47400;70000;Gatzarria;-0.919562;43.135472;
Gatzarria Layer Cr Fauna;animal remains, paleofauna;Europe;archaeological (cultural) stratigraphy, geology;47400;116000;Gatzarria;-0.919562;43.135472;
Geelbek_Alice AD1 Fauna;paleofauna;Africa;geology;9370;10450;Geelbek_Alice;18.15312;-33.1896;
Geelbek_Alice AD2 Fauna;paleofauna;Africa;geology;4350;5120;Geelbek_Alice;18.15312;-33.1896;
Geelbek_Alice CAL4 Fauna;paleofauna;Africa;geology;107483;121787;Geelbek_Alice;18.15312;-33.1896;
Geelbek_Alice CAL4 MSA Collection;raw material, technology, typology;Africa;geology;107483;121787;Geelbek_Alice;18.15312;-33.1896;
Geelbek_Alice MGF Fauna;paleofauna;Africa;14C (radiocarbon) dating;15610;17170;Geelbek_Alice;18.15312;-33.1896;
AD1 Geelbek_BB Fauna;paleofauna;Africa;geology;10000;12000;Geelbek_BB;18.1507;-33.19233;
AD2 Geelbek_BB Fauna;paleofauna;Africa;geology;4000;6000;Geelbek_BB;18.1507;-33.19233;
Geelbek_Bay35 AD1 Fauna;paleofauna;Africa;geology;10000;12000;Geelbek_Bay35;18.15342;-33.19128;
Geelbek_Bay35 AD2 Fauna;paleofauna;Africa;geology;4000;6000;Geelbek_Bay35;18.15342;-33.19128;
Geelbek_Bay35 CAL4 Fauna;paleofauna;Africa;geology;107483;121787;Geelbek_Bay35;18.15342;-33.19128;
Geelbek_Bay35 CAL4 MSA Collection;raw material, technology, typology;Africa;geology;107483;121787;Geelbek_Bay35;18.15342;-33.19128;
Geelbek_Bay35 MGF Fauna;paleofauna;Africa;geology;18170;29310;Geelbek_Bay35;18.15342;-33.19128;
AD2 Geelbek_Bovid Fauna;paleofauna;Africa;geology;4000;6000;Geelbek_Bovid;18.1504;-33.1846;
CAL2? Geelbek_Bovid Fauna;paleofauna;Africa;geology;151800;171800;Geelbek_Bovid;18.1504;-33.1846;
AD1 Geelbek_Check Fauna;paleofauna;Africa;geology;9000;11000;Geelbek_Check;18.1625;-33.18468;
AD2 Geelbek_Check Fauna;paleofauna;Africa;geology;5000;7000;Geelbek_Check;18.1625;-33.18468;
CAL2? Geelbek_Check Fauna;paleofauna;Africa;geology;151800;171800;Geelbek_Check;18.1625;-33.18468;
AD0 Geelbek_Crow Fauna;paleofauna;Africa;geology;53000;61000;Geelbek_Crow;18.16258;-33.17722;
AD1 Geelbek_Crow Fauna;paleofauna;Africa;geology;9000;11000;Geelbek_Crow;18.16258;-33.17722;
CAL4? Geelbek_Crow Fauna;paleofauna;Africa;geology;106000;116000;Geelbek_Crow;18.16258;-33.17722;
AD1 Geelbek_EDM Fauna;paleofauna;Africa;geology;10000;12000;Geelbek_EDM;18.15158;-33.19282;
AD2 Geelbek_EDM Fauna;paleofauna;Africa;geology;4000;6000;Geelbek_EDM;18.15158;-33.19282;
CAL4? Geelbek_EDM Fauna;paleofauna;Africa;geology;107483;121787;Geelbek_EDM;18.15158;-33.19282;
Geelbek_Equus CAL4 Fauna;paleofauna;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;60000;116000;Geelbek_Equus;18.16185;-33.17812;
Geelbek_Equus CAL4 HP Collection;raw material, technology, typology;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;60000;116000;Geelbek_Equus;18.16185;-33.17812;
Geelbek_Equus CAL4 MSA Collection;raw material, technology, typology;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;60000;116000;Geelbek_Equus;18.16185;-33.17812;
Geelbek_Equus TJP Fauna;paleofauna;Africa;14C (radiocarbon) dating, stratigraphy;37050;116000;Geelbek_Equus;18.16185;-33.17812;
AD1 Geelbek_Frikkie Fauna;paleofauna;Africa;geology;9000;11000;Geelbek_Frikkie;18.16307;-33.18398;
AD2 Geelbek_Frikkie Fauna;paleofauna;Africa;geology;5000;7000;Geelbek_Frikkie;18.16307;-33.18398;
CAL2? Geelbek_Frikkie Fauna;paleofauna;Africa;geology;151800;171800;Geelbek_Frikkie;18.16307;-33.18398;
CAL2? Geelbek_Hetero Fauna;paleofauna;Africa;geology;151800;171800;Geelbek_Hetero;18.15783;-33.1848;
SW Geelbek_Hetero Fauna;paleofauna;Africa;geology;24600;26000;Geelbek_Hetero;18.15783;-33.1848;
Geelbek_Homo AD1 Fauna;paleofauna;Africa;geology;10000;12000;Geelbek_Homo;18.15268;-33.19078;
Geelbek_Homo AD2 Fauna;paleofauna;Africa;geology;4000;6000;Geelbek_Homo;18.15268;-33.19078;
Geelbek_Homo CAL4 Fauna;paleofauna;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;60000;121800;Geelbek_Homo;18.15268;-33.19078;
Geelbek_Homo CAL4 HP Collection;raw material, technology, typology;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;60000;121800;Geelbek_Homo;18.15268;-33.19078;
Geelbek_Homo CAL4 MSA Collection;raw material, technology, typology;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;60000;121800;Geelbek_Homo;18.15268;-33.19078;
Geelbek_Homo CAL4 SB Collection;raw material, technology, typology;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;60000;121800;Geelbek_Homo;18.15268;-33.19078;
Geelbek_Homo MGF Fauna;paleofauna;Africa;U series (uranium-thorium) dating;18170;29310;Geelbek_Homo;18.15268;-33.19078;
Geelbek_Loop AD1 Fauna;paleofauna;Africa;geology;9000;11000;Geelbek_Loop;18.16415;-33.17863;
Geelbek_Loop CAL4 Fauna;paleofauna;Africa;geology;106000;116000;Geelbek_Loop;18.16415;-33.17863;
Geelbek_Loop CAL4 MSA Collection;raw material, technology, typology;Africa;geology;106000;116000;Geelbek_Loop;18.16415;-33.17863;
Geelbek_Mrose AD1 Fauna;paleofauna;Africa;geology;9000;11000;Geelbek_Mrose;18.16347;-33.1806;
Geelbek_Mrose CAL4 Fauna;paleofauna;Africa;archaeological (cultural) stratigraphy, geology;70000;116000;Geelbek_Mrose;18.16347;-33.1806;
Geelbek_Mrose CAL4 SB Collection;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, geology;70000;116000;Geelbek_Mrose;18.16347;-33.1806;
AD1 Geelbek_Nora Fauna;paleofauna;Africa;geology;9000;11000;Geelbek_Nora;18.15607;-33.17685;
AD2 Geelbek_Nora Fauna;paleofauna;Africa;geology;5000;7000;Geelbek_Nora;18.15607;-33.17685;
AD2 Geelbek_Olifant Fauna;paleofauna;Africa;geology;4000;6000;Geelbek_Olifant;18.151;-33.18613;
MGF Geelbek_Ovis Fauna;paleofauna;Africa;geology;1050;1250;Geelbek_Ovis;18.15953;-33.18128;
AD1 Geelbek_Pottery Fauna;paleofauna;Africa;geology;9000;11000;Geelbek_Pottery;18.15288;-33.17992;
AD2 Geelbek_Pottery Fauna;paleofauna;Africa;14C (radiocarbon) dating;5000;7000;Geelbek_Pottery;18.15288;-33.17992;
Geelbek_Rhino AD1 Fauna;paleofauna;Africa;IRSL post-IR (post-infrared infrared stimulated luminescence) dating;9000;11000;Geelbek_Rhino;18.15183;-33.18;
Geelbek_Rhino CAL5 Fauna;paleofauna;Africa;U series (uranium-thorium) dating;79800;86200;Geelbek_Rhino;18.15183;-33.18;
Geelbek_Rhino PFH Fauna;paleofauna;Africa;IRSL post-IR (post-infrared infrared stimulated luminescence) dating, archaeological (cultural) stratigraphy;39940;66000;Geelbek_Rhino;18.15183;-33.18;
Geelbek_Rhino PFH HP Collection;raw material, technology, typology;Africa;IRSL post-IR (post-infrared infrared stimulated luminescence) dating, archaeological (cultural) stratigraphy;39940;66000;Geelbek_Rhino;18.15183;-33.18;
AD1 Geelbek_Shelly Fauna;paleofauna;Africa;geology;10000;12000;Geelbek_Shelly;18.15247;-33.18238;
AD2 Geelbek_Shelly Fauna;paleofauna;Africa;geology;4000;6000;Geelbek_Shelly;18.15247;-33.18238;
CAL3? Geelbek_Shelly Fauna;paleofauna;Africa;geology;122500;142800;Geelbek_Shelly;18.15247;-33.18238;
Geelbek_Snoek AD1 Fauna;paleofauna;Africa;geology;9000;11000;Geelbek_Snoek;18.15803;-33.18033;
Geelbek_Snoek AD2 Fauna;paleofauna;Africa;geology;5000;7000;Geelbek_Snoek;18.15803;-33.18033;
Geelbek_Snoek CAL4 Fauna;paleofauna;Africa;geology;106000;116000;Geelbek_Snoek;18.15803;-33.18033;
Geelbek_Snoek CAL4 MSA Collection;raw material, technology, typology;Africa;geology;106000;116000;Geelbek_Snoek;18.15803;-33.18033;
Geelbek_Snoek MGF Fauna;paleofauna;Africa;14C (radiocarbon) dating;1050;1250;Geelbek_Snoek;18.15803;-33.18033;
AD1 Geelbek_Stella Fauna;paleofauna;Africa;14C (radiocarbon) dating;10000;12000;Geelbek_Stella;18.15622;-33.18535;
AD2 Geelbek_Stella Fauna;paleofauna;Africa;14C (radiocarbon) dating;4000;6000;Geelbek_Stella;18.15622;-33.18535;
CAL2 Geelbek_Stella Fauna;paleofauna;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;60000;130000;Geelbek_Stella;18.15622;-33.18535;
Geelbek_Stella CAL2 HP Collection;raw material, technology, typology;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;60000;130000;Geelbek_Stella;18.15622;-33.18535;
Geelbek_Stella CAL2 MSA Collection;raw material, technology, typology;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;60000;130000;Geelbek_Stella;18.15622;-33.18535;
SW Geelbek_Stella Fauna;paleofauna;Africa;14C (radiocarbon) dating;24600;26000;Geelbek_Stella;18.15622;-33.18535;
AD0 Geelbek_Stonering Fauna;paleofauna;Africa;14C (radiocarbon) dating;53000;61000;Geelbek_Stonering;18.15878;-33.17895;
AD1 Geelbek_Stonering Fauna;paleofauna;Africa;geology;9000;11000;Geelbek_Stonering;18.15878;-33.17895;
AD2 Geelbek_Stonering Fauna;paleofauna;Africa;geology;5000;7000;Geelbek_Stonering;18.15878;-33.17895;
CAL4 Geelbek_Stonering Fauna;paleofauna;Africa;14C (radiocarbon) dating;113500;124500;Geelbek_Stonering;18.15878;-33.17895;
AD1 Geelbek_Toaster Fauna;paleofauna;Africa;geology;10000;12000;Geelbek_Toaster;18.15378;-33.18348;
AD2 Geelbek_Toaster Fauna;paleofauna;Africa;geology;4000;6000;Geelbek_Toaster;18.15378;-33.18348;
CAL3 Geelbek_Toaster Fauna;paleofauna;Africa;U series (uranium-thorium) dating;122470;142798;Geelbek_Toaster;18.15378;-33.18348;
Geelbek_Toaster CAL3 MSA Collection;raw material, technology, typology;Africa;U series (uranium-thorium) dating;122470;142798;Geelbek_Toaster;18.15378;-33.18348;
AH III/IIIa assemblage;feature, organic tools;Europe;14C (radiocarbon) dating;34450;39900;Geißenklösterle;9.7713;48.3983;
AH IIIb assemlage;organic tools;Europe;14C (radiocarbon) dating;35400;38700;Geißenklösterle;9.7713;48.3983;
AH IIa assemblage;feature, function, organic tools;Europe;14C (radiocarbon) dating;32500;36350;Geißenklösterle;9.7713;48.3983;
AH IIa/IIb assemblage;organic tools;Europe;14C (radiocarbon) dating;32500;36350;Geißenklösterle;9.7713;48.3983;
AH IIa/IIb assemblage;organic tools;Europe;14C (radiocarbon) dating;33400;35500;Geißenklösterle;9.7713;48.3983;
AH IIb assemblage;feature, function, organic tools;Europe;14C (radiocarbon) dating;33400;35500;Geißenklösterle;9.7713;48.3983;
AH IId assemblage;function, organic tools;Europe;14C (radiocarbon) dating;33650;34750;Geißenklösterle;9.7713;48.3983;
AH IIn assemblage;organic tools;Europe;14C (radiocarbon) dating;31600;33000;Geißenklösterle;9.7713;48.3983;
Geißenklösterle AH IV Mousterian assemblage;raw material, technology, typology;Europe;ESR (electron spin resonance) dating, archaeological (cultural) stratigraphy;49000;73000;Geißenklösterle;9.7713;48.3983;
Geißenklösterle AH V Mousterian assemblage;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology;49000;104000;Geißenklösterle;9.7713;48.3983;
Geißenklösterle AH VI Mousterian assemblage;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology;49000;104000;Geißenklösterle;9.7713;48.3983;
Geißenklösterle AH VII Mousterian assemblage;raw material, technology, typology;Europe;ESR (electron spin resonance) dating, archaeological (cultural) stratigraphy;64000;104000;Geißenklösterle;9.7713;48.3983;
Geißenklösterle AH VIII Mousterian assemblage;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology;64000;104000;Geißenklösterle;9.7713;48.3983;
Geißenklösterle AHI human remains 01;human remains;Europe;14C (radiocarbon) dating;27670;28250;Geißenklösterle;9.7713;48.3983;
Geißenklösterle AHI human remains 02;human remains;Europe;14C (radiocarbon) dating;27670;28250;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont H Fauna;animal remains, paleofauna;Europe;archaeological (cultural) stratigraphy;6500;11600;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont I Fauna;animal remains, paleofauna;Europe;14C (radiocarbon) dating;26190;26650;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont I Fauna;animal remains, paleofauna;Europe;14C (radiocarbon) dating;27670;28250;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont I Fauna;animal remains, paleofauna;Europe;14C (radiocarbon) dating;28310;28890;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont I Fauna;animal remains, paleofauna;Europe;14C (radiocarbon) dating;32450;33350;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont I Fauna;animal remains, paleofauna;Europe;archaeological (cultural) stratigraphy, geology;26650;27600;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont I Fauna;animal remains, paleofauna;Europe;archaeological (cultural) stratigraphy, geology;29000;32500;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont II Fauna;animal remains, paleofauna;Europe;14C (radiocarbon) dating;31600;33000;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont II Fauna;animal remains, paleofauna;Europe;14C (radiocarbon) dating;32500;36350;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont II Fauna;animal remains, paleofauna;Europe;14C (radiocarbon) dating;33400;35500;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont III Fauna;animal remains, paleofauna;Europe;14C (radiocarbon) dating;33650;34750;Geißenklösterle;9.7713;48.3983;
Geißenklösterle Archäologischer Horizont III Fauna;animal remains, paleofauna;Europe;14C (radiocarbon) dating;34450;39900;Geißenklösterle;9.7713;48.3983;
